# Time (s), Z (m), Mach Number, Angle of Attack (°)
121.974325,3137.913740,0.044418,65.476245
122.792768,3125.717491,0.044385,65.435525
123.611210,3113.528459,0.044352,65.404995
124.429653,3101.346624,0.044318,65.382178
125.610061,3083.789890,0.044271,65.359814
126.790468,3066.248041,0.044223,65.345505
127.970876,3048.721020,0.044175,65.335881
129.151284,3031.208771,0.044128,65.329246
130.730349,3007.805139,0.044065,65.323604
132.309414,2984.427718,0.044002,65.320243
133.888479,2961.076387,0.043940,65.318239
135.467544,2937.751028,0.043877,65.317043
138.596560,2891.606493,0.043755,65.315827
141.725576,2845.562495,0.043633,65.315361
144.854592,2799.618226,0.043513,65.315239
150.596853,2715.559907,0.043294,65.315393
156.339115,2631.829773,0.043079,65.315475
157.193600,2619.397886,0.043047,65.315437
158.048085,2606.973126,0.043016,65.315405
158.528527,2599.990350,0.042999,65.237005
159.201180,2590.217895,0.042977,65.065333
159.873833,2580.450202,0.042953,64.929772
160.546486,2570.687431,0.042929,64.822880
161.366970,2558.785908,0.042899,64.722207
162.187455,2546.891976,0.042869,64.646737
163.007939,2535.005664,0.042839,64.590113
164.469683,2513.848275,0.042784,64.523297
165.931428,2492.714879,0.042730,64.481846
167.393173,2471.605228,0.042675,64.456497
168.854918,2450.519048,0.042621,64.441805
170.329600,2429.269912,0.042566,64.432834
171.804282,2408.044494,0.042511,64.427625
173.278965,2386.842642,0.042457,64.424587
174.139548,2374.480655,0.042426,64.423406
175.000131,2362.126605,0.042394,64.422507
175.860715,2349.780479,0.042363,64.421844
176.678178,2338.060289,0.042333,64.421379
177.495641,2326.347213,0.042303,64.421032
178.313104,2314.641232,0.042274,64.420774
179.790371,2293.504864,0.042221,64.420466
181.267638,2272.391510,0.042168,64.420293
182.744905,2251.301068,0.042115,64.420198
185.802231,2207.724964,0.042006,64.420133
188.859557,2164.245710,0.041898,64.420157
191.916883,2120.862456,0.041792,64.420179
193.781505,2094.450383,0.041727,64.420175
195.646128,2068.073445,0.041663,64.420164
196.112284,2061.484682,0.041645,64.452701
196.578439,2054.898061,0.041625,64.568241
197.044595,2048.313475,0.041606,64.665243
197.510751,2041.730828,0.041588,64.747777
198.443062,2028.571164,0.041553,64.877728
199.375373,2015.418910,0.041520,64.971888
200.307685,2002.274100,0.041487,65.040030
201.239996,1989.136741,0.041455,65.089314
202.811267,1967.012521,0.041400,65.143339
204.382538,1944.909489,0.041345,65.175095
205.953810,1922.827744,0.041291,65.193514
207.525081,1900.767239,0.041237,65.203952
209.173302,1877.649008,0.041180,65.210285
210.821524,1854.553904,0.041124,65.213654
212.469745,1831.481905,0.041068,65.215479
214.157132,1807.885526,0.041011,65.216566
215.844519,1784.313175,0.040954,65.217200
217.531906,1760.764724,0.040897,65.217562
219.130496,1738.477437,0.040843,65.217757
220.729087,1716.211444,0.040790,65.217871
226.805680,1631.765683,0.040589,65.218066
232.882273,1547.621641,0.040390,65.220923
233.195637,1543.290589,0.040380,65.241271
233.509001,1538.960323,0.040369,65.259779
233.822364,1534.630839,0.040359,65.276462
234.449092,1525.974197,0.040338,65.305061
235.075819,1517.320642,0.040317,65.328110
235.702547,1508.670160,0.040297,65.346617
237.289682,1486.777223,0.040245,65.377891
238.876816,1464.903786,0.040193,65.395008
240.463951,1443.049753,0.040142,65.405036
242.051086,1421.215057,0.040091,65.411253
243.881001,1396.064272,0.040032,65.415420
245.710917,1370.939007,0.039973,65.417802
246.552381,1359.394002,0.039946,65.418512
246.693729,1357.455292,0.039942,65.418631
246.835077,1355.516734,0.039937,65.418744
248.052381,1338.827237,0.039899,65.419548
248.056017,1338.777732,0.039633,65.419550
248.059653,1338.728553,0.039372,65.419551
248.066926,1338.630839,0.038858,65.419553
248.074198,1338.534389,0.038359,65.419554
248.081470,1338.439165,0.037876,65.419553
248.114786,1338.017665,0.035840,65.419532
248.148102,1337.617946,0.034055,65.419485
248.181418,1337.237404,0.032480,65.419412
248.214734,1336.873833,0.031084,65.419316
248.264755,1336.355761,0.029263,65.419128
248.314776,1335.866551,0.027714,65.418892
